warlock	witch
ovoid	solid
tailpiece	appendage
uveitis	inflammation
atomizer	dispenser
sarcolemma	membrane
farfalle	pasta
acacia	tree
rap	blow
incineration	burning
pinstripe	fabric
plasma	chalcedony
convergence	joining
roller	grounder
dispensation	license
inhalant	gas
columbarium	vault
shift	motion
reentry	return
perennial	plant
motley	garment
confectionery	sweet
thyroidectomy	ablation
amateur	athlete
extent	magnitude
subbase	molding
glamorization	beautification
slacks	trouser
crossbow	bow
bluff	deception
unilateralist	advocate
juke	feint
behalf	stead
lending	disposal
schlemiel	simpleton
backstop	fence
canebrake	brush
conditioning	learning
whipping	beating
custom-made	item
earplug	earphone
lease	property
action	mechanism
slasher	attacker
alienation	transfer
guitarfish	ray
practicability	utility
circumlocution	evasion
perspective	appearance
translation	paraphrase
body	mass
sculptor	artist
landmark	position
carnival	show
censure	disapprobation
entail	change
core	chamber
side	unit
destitution	poverty
evenness	parity
greenshank	sandpiper
appeaser	conciliator
bale	bundle
patricide	parricide
wrong	injustice
perfumery	art
highbrow	intellectual
bobble	blunder
concern	sympathy
cackle	cry
protectorate	district
taoiseach	chancellor
key	device
productivity	ratio
jerk	motion
debacle	collapse
genetics	biology
disparagement	disrespect
azithromycin	antibacterial
intractability	trait
stapler	machine
patrol	protection
beaker	jar
papoose	baby
propoxyphene	analgesic
diol	alcohol
theory	belief
fink	informer
anamorphosis	copy
blarney	flattery
admissibility	acceptability
evocation	stimulation
martyrdom	death
harvest	consequence
vigil	wakefulness
eyesore	ugliness
encore	performance
call	demand
trick	dishonesty
quitclaim	transfer
partiality	inclination
praise	approval
twin	sibling
adaptation	writing
gulf	chasm
copy	text
wort	herb
airiness	liveliness
prosecution	collection
peacock	peafowl
rabbet	groove
serf	thrall
production	display
distrust	trait
peptide	amide
chandlery	storeroom
north	direction
titanosaur	dinosaur
form	manner
account	relationship
hardware	instrumentality
horsewhip	whip
fare	charge
connotation	meaning
quiche	tart
interest	curiosity
digit	extremity
chipotle	jalapeno
tapioca	foodstuff
pencil	cosmetic
ornithopod	ornithischian
backlighting	lighting
pap	drivel
thrombosis	occlusion
trap	device
quintessence	element
death	end
wilding	rampage
plasmapheresis	apheresis
administrator	head
stemmer	device
worsted	fabric
resourcefulness	resource
bureaucracy	organization
perfumery	perfume
fastener	restraint
underworld	class
prevalence	generality
passer	student
margin	boundary
probe	inquiry
crematory	furnace
elbow	pipe
logjam	arrest
factor	number
installment	payment
active	person
talc	mineral
teamwork	cooperation
filter	device
overwork	labor
chert	silica
slip	sheet
archive	depository
polyp	growth
exhibitionism	paraphilia
hut	shelter
variolation	inoculating
springboard	beginning
arsenide	compound
tostada	dish
machinery	system
highchair	chair
jacket	coat
apprehension	capture
shaft	passageway
caliphate	position
rectus	muscle
sinner	wrongdoer
rationalization	explanation
tread	surface
haying	season
name	family
error	misconception
indemnity	protection
sausage	meat
hypothesis	concept
wish	request
starlet	star
minimalist	artist
obligation	state
cubby	room
reconciliation	equalization
buff	implement
chemistry	substance
telegraph	apparatus
guy	brace
coxcomb	dandy
candlestick	holder
backspin	spin
torchbearer	leader
grounds	tract
turnverein	club
perspiration	secretion
semantics	meaning
suit	businessman
debt	indebtedness
afghan	blanket
noria	waterwheel
hunk	part
pessimism	disposition
cabinet	furniture
neurophysiology	physiology
slinging	throw
train	consequence
disposal	act
cuttlefish	decapod
borrowing	transaction
richness	fruitfulness
ugliness	appearance
aura	symptom
constriction	compression
raglan	garment
hometown	town
dentistry	medicine
mousetrap	trap
plating	application
plowshare	wedge
amphibia	class
cockfight	match
putty	cement
negative	film
neighbor	person
pharmacokinetics	pharmacology
screen	surface
tiller	farmer
today	day
fellah	peasant
eggnog	punch
satisfaction	change
quoin	wedge
transmogrification	transformation
creak	noise
rathole	hole
creditworthiness	trustworthiness
watch	timepiece
tear	separation
memorial	structure
vaquero	cowboy
court	court
weeknight	night
casuistry	argumentation
agony	pain
firestone	sandstone
chalcedony	quartz
liar	deceiver
collision	contact
articulation	expression
rotunda	room
card	paper
newscaster	announcer
yardarm	end
borsch	soup
jewelry	adornment
stockbroker	agent
trunk	stalk
chlorpyrifos	organophosphate
caller	speaker
degree	magnitude
hellion	troublemaker
hemosiderin	pigment
tusk	tooth
brick	ceramic
heresy	content
ruggedness	unevenness
guidebook	handbook
blucher	shoe
distortion	damage
page	leaf
patrician	adult
tone	quality
desipramine	tricyclic
layer	hen
pintle	pivot
hob	shelf
backwoods	country
pursuer	person
growing	production
speleology	avocation
relaxin	hormone
lamasery	monastery
vertebra	bone
nod	inclination
narrowing	decrease
telephone	telecommunication
acting	activity
solicitation	request
indigestion	symptom
scorch	stain
effect	validity
demonetization	termination
generator	engine
property	attribute
jumper	connection
capercaillie	grouse
thatch	roof
electrolysis	decomposition
regent	ruler
overspill	move
bad	quality
bootmaker	cobbler
rotifer	invertebrate
clearing	liberation
pulse	rate
attachment	affection
grove	forest
eucalyptus	wood
rollback	decrease
gunlock	action
smoke	breathing
ague	illness
annotator	observer
opportunity	possibility
dole	share
screed	writing
attentiveness	trait
vibrato	sound
rebate	refund
transsexual	anomaly
echinococcosis	infestation
juxtaposition	position
delineation	drawing
substrate	surface
hobby	falcon
pole	rod
radius	length
cadetship	position
lunchtime	mealtime
pilot	aviator
peace	security
overtone	meaning
precursor	person
hero	leader
bacteria	microorganism
cloister	court
schnauzer	terrier
foraging	search
gramicidin	antiseptic
anaconda	boa
subshrub	shrub
sort	person
diploid	organism
baritone	brass
demography	sociology
heterosexual	person
midafternoon	day
recipe	direction
placidity	calmness
leech	follower
epigraph	inscription
firestorm	controversy
complexion	color
guidance	message
siamese	intake
sucrose	disaccharide
dryness	condition
hamlet	community
loop	fingerprint
firecracker	firework
limit	extremity
gown	dress
nature	type
denigration	disparagement
genealogy	discipline
major	student
bubbler	device
stewardship	position
moderator	inhibitor
asthenia	infirmity
peasantry	class
buna	rubber
sprinter	runner
nausea	symptom
laager	camp
ballistics	dynamics
secularization	change
chassis	mounting
ear	hearing
wastage	decrease
baggage	case
listing	organization
arethusa	orchid
familiarity	friendliness
catcher	infielder
optimism	disposition
crystal	solid
sum	quantity
scrofula	tuberculosis
hesitance	diffidence
revelation	insight
brotherhood	kinship
coward	person
reamer	drill
slick	trowel
ragamuffin	urchin
thing	happening
inhibition	restraint
macrozamia	cycad
gaillardia	wildflower
fettuccine	pasta
pillar	principle
progressive	tense
spraying	application
mew	gull
amphitheater	stadium
vivarium	enclosure
recitative	passage
transplant	operation
reaction	resistance
coverage	news
flank	formation
brokerage	business
giant	animal
delinquent	wrongdoer
bazooka	launcher
periosteum	membrane
morel	mushroom
stringybark	eucalyptus
tare	weight
disparagement	disapproval
sofa	seat
supplication	entreaty
cotter	peasant
paralegal	paraprofessional
fraternity	club
depression	crisis
hour	distance
swordsmanship	skill
suzerainty	domain
tailrace	watercourse
inventory	listing
burden	idea
heterosexism	discrimination
dissertation	treatise
collaborator	traitor
phlogiston	substance
janitor	custodian
veto	power
sampler	embroidery
assumption	acquisition
invitation	allure
bedstead	furniture
publisher	owner
harasser	tormentor
size	situation
impression	press
bowl	ball
double	person
nibbler	biter
gunwale	wale
commitment	cooperation
jawan	soldier
neuroanatomy	anatomy
shower	descent
firm	business
wall	partition
draw	object
multiplex	telecommunication
comfort	aid
top	side
chauvinist	patriot
adsorbate	sorbate
methyltestosterone	androgen
kaolinite	mineral
urging	advocacy
condolence	acknowledgment
core	torus
plainsong	chant
outbuilding	building
containment	restraint
age	property
details	information
self-consciousness	self-awareness
buster	child
slovenliness	uncleanliness
apostle	believer
cherry	wood
cornmeal	meal
linemen	line
evidence	indication
fraud	crime
phlogopite	mica
rut	groove
cipher	code
burn	damage
nuance	meaning
memento	reminder
nepotism	discrimination
naturalization	proceeding
bisque	soup
hammer	blow
metallic	fabric
finale	conclusion
exemption	release
blueberry	shrub
razing	destruction
threepence	coin
factorization	resolution
letterer	painter
connection	shape
abracadabra	gibberish
deputy	assistant
namesake	person
dementia	insanity
keg	barrel
gumbo	soup
cosmologist	astronomer
bluestocking	woman
outfield	tract
burqa	garment
tapestry	complexity
block	collection
paloverde	shrub
liver	person
grant	allotment
search	activity
charger	device
putter	iron
percussion	auscultation
derailment	mishap
convolvulus	vine
chortle	laugh
sackbut	trombone
metazoan	animal
burden	concern
triumvirate	trio
growth	vegetation
cut	gradation
landmark	juncture
array	display
uppercut	blow
booth	shop
dimetrodon	synapsid
calcination	oxidation
teal	duck
illumination	state
magistrate	judge
leisure	rest
geomancy	divination
assassination	murder
order	sect
automat	cafeteria
effortlessness	ease
oast	kiln
bay	cry
loungewear	clothing
executor	fiduciary
virologist	microbiologist
shilling	coin
cameo	anaglyph
draft	drink
violence	aggression
coherence	comprehensibility
augite	mineral
bandwagon	wagon
weeper	unfortunate
superego	conscience
survivalist	person
percentage	proportion
jurisprudence	philosophy
snogging	caressing
shrew	insectivore
receivership	state
know	knowing
babel	confusion
pacesetter	exemplar
positive	film
enunciation	articulation
portrait	likeness
independence	freedom
latex	exudate
lanai	veranda
tail	spy
powerhouse	team
swimmer	traveler
torus	molding
implantation	operation
artemisia	shrub
copper	penny
tamp	tool
ground	surface
bulb	structure
jar	vessel
tinderbox	situation
pocketbook	means
desperation	recklessness
repartee	wit
fairway	site
portage	track
sprue	disorder
reverence	action
coverage	sum
pragmatist	realist
ballade	poem
crop	plant
nebula	symptom
clincher	argument
rock	lurch
assiduity	diligence
stab	blow
corn	cereal
chip	counter
cast	copy
moray	eel
faucet	regulator
chordate	animal
monarch	danaid
sawfish	ray
trolleybus	bus
pin	fastener
meed	reward
fabrication	falsehood
flagellate	protozoan
lepton	fermion
row	line
fatherhood	kinship
foreboding	apprehension
shallot	onion
lath	slat
better	good
cabbage	crucifer
haycock	haystack
neuroscience	neurobiology
lees	sediment
tithe	levy
caladium	arum
acculturation	content
synovitis	inflammation
leaf	section
indiscretion	misbehavior
grub	larva
headscarf	kerchief
puncher	boxer
sin	activity
chapterhouse	building
bankbook	record
disinterestedness	impartiality
doubletree	crossbar
ballooning	flight
heave	rise
back-formation	word
rubric	heading
warm-up	preparation
lunette	fortification
hiccup	symptom
trellis	lattice
keyhole	hole
hogshead	barrel
dictator	speaker
truss	framework
calving	parturition
leukemia	cancer
opacity	quality
module	component
thatcher	roofer
jennet	ass
mutiny	rebellion
printer	printer
typology	categorization
perfective	aspect
caressing	foreplay
spike	nail
upholstery	covering
pederasty	homosexuality
charade	word
messenger	traveler
cork	bark
dishwater	water
pinball	game
snowfield	plain
probenecid	medicine
connoisseur	authority
garden	plot
applet	application
possession	control
planking	covering
solvability	property
musk	secretion
lead	section
monarchy	autocracy
dominion	dominance
seal	fur
performer	entertainer
baffle	plate
appreciation	thanks
obstruction	hindrance
interpolation	calculation
blocking	obstruction
gambling	diversion
rendition	performance
lawgiver	leader
seal	stamp
emir	ruler
bleeding	injury
descender	line
superoxide	anion
solid	shape
alcalde	mayor
menthol	compound
insectivore	animal
civility	courtesy
stand	stop
naturalization	borrowing
letter	document
aardwolf	hyena
ranching	farming
nay	negative
strychnine	alkaloid
polymorph	organism
type	kind
quarter	part
balance	equilibrium
handwriting	writing
garage	outbuilding
layoff	closure
chlamydia	eubacteria
varsity	team
hatmaker	merchant
opportunism	selfishness
redstart	thrush
canvas	setting
grade	rank
roots	condition
manifold	pipe
snare	trap
pansexual	person
zooid	organism
glare	stare
groundcover	vegetation
eruption	emergence
prebend	stipend
searchlight	light
background	inheritance
cypress	wood
dump	site
affixation	morphology
principle	rule
penalty	disadvantage
trek	trip
melancholic	depressive
seidel	glass
mountebank	deceiver
match	lighter
refrain	music
foredeck	deck
concoction	invention
extrapolation	calculation
wombat	marsupial
flick	contact
insight	understanding
photolithography	lithography
hanging	decoration
gasbag	bore
convergence	series
guardhouse	headquarters
sinuosity	curve
cretinism	hypothyroidism
divisor	number
lied	song
archaism	formulation
see	seat
forest	biome
sconce	light
deviationist	deserter
pseudonym	name
roll	film
gelignite	dynamite
smoothness	evenness
fellowship	aid
dinette	room
swarm	group
trimming	adornment
lodestar	model
slicker	sophisticate
climber	athlete
gobbler	eater
loader	attendant
sambar	deer
vaporizer	device
cheat	deception
mullet	fish
insistence	advocacy
bunkmate	acquaintance
oarsman	boatman
kindness	good
oncology	medicine
heth	letter
breech	opening
keep	stronghold
diet	fast
thoroughbred	racehorse
locking	protection
reset	device
plating	coating
sleet	precipitation
litigant	party
aquatint	etching
horn	noisemaker
registration	entrance
misfit	anomaly
muon	lepton
transfiguration	transformation
posterity	generation
tightening	alteration
run	trip
myopathy	pathology
skeleton	minimum
genre	kind
cholesterol	sterol
superiority	advantage
opposition	contestant
pea	legume
astronaut	traveler
drapery	fabric
league	association
racketeer	criminal
change	relation
preview	screening
formality	ceremony
cul	passage
sesame	herb
wherewithal	means
rhododendron	shrub
save	prevention
lounger	loungewear
secession	school
fadeout	noise
right	abstraction
telomerase	enzyme
paella	dish
physiology	biology
cycling	sport
extortion	felony
election	vote
setup	manner
insecurity	anxiety
frequentative	verb
recall	request
estriol	estrogen
tameness	tractability
polypropylene	plastic
diaphragm	contraceptive
threshing	separation
ad	promotion
mind	notice
autobiography	biography
dumbbell	simpleton
amber	yellow
venturi	tube
fineness	narrowness
stamp	die
pedicab	tricycle
dance	art
echocardiogram	graph
convalescence	healing
meniscus	surface
blow	stroke
chiropodist	specialist
representative	negotiator
indecision	doubt
carload	gathering
swish	sound
atheism	unbelief
throb	pain
groundsel	weed
glint	brightness
verification	affidavit
mortarboard	cap
settler	migrant
presence	being
quadrature	construction
devise	gift
theme	tune
yield	product
recoil	movement
wretchedness	inferiority
objectification	realization
colloquialism	formulation
responsiveness	sensitivity
collection	publication
cinnamon	laurel
airburst	explosion
silicone	siloxane
whirl	movement
slating	criticism
stainer	worker
incense	compound
year-end	end
arthroscopy	operation
dale	valley
screener	guard
tendency	direction
wheeling	propulsion
fondant	candy
strand	line
paymaster	payer
iteration	repetition
bookbinding	handicraft
declination	acknowledgment
knighthood	nobility
jersey	shirt
troika	triumvirate
zombie	highball
vasopressin	vasoconstrictor
coif	skullcap
instillation	insertion
compartment	space
tail	process
conchology	malacology
pilocarpine	alkaloid
directorate	board
sweetening	seasoning
check	blemish
tomorrow	day
polyester	plastic
coil	structure
pitcher	position
natural	cast
tarsal	bone
ecology	environment
subcontract	contract
truncation	carving
hacker	terrorist
irregularity	asymmetry
know-how	ability
enamel	paint
amphibole	mineral
spirit	atmosphere
executioner	killer
payola	bribe
phenotype	constitution
about-face	reversion
volatile	substance
perfumery	establishment
bow	front
sundress	dress
octagon	polygon
chancellor	principal
man	person
chinaberry	tree
negation	denial
bitters	liquor
stripe	badge
insemination	planting
sneeze	reflex
bibliophile	scholar
wren	passerine
bag	baggage
bobsled	sled
headwater	beginning
diagonal	line
fallacy	misconception
sconce	fortress
static	noise
voice	singer
eruption	symptom
falsehood	statement
selfishness	stinginess
damper	restraint
formulation	compound
predestination	destiny
geodesy	geophysics
acidophilus	lactobacillus
retrospection	mention
molt	shedding
camisole	undergarment
kibble	meal
ology	discipline
abstraction	entity
net	goal
steed	warhorse
gunman	shot
polish	smoothness
kickstand	rod
skullcap	herb
feature	property
support	aid
cabinetmaking	carpentry
plesiosaur	archosaur
sandbag	bag
cacophony	dissonance
beater	implement
newsstand	stall
wound	injury
self-discipline	discipline
quietism	mysticism
cyborg	machine
diameter	length
goffer	iron
quiescence	rest
transient	traveler
ping	sound
totem	kin
tufa	rock
postponement	delay
farmland	country
painting	trade
scabies	infection
breeding	elegance
mascot	organism
consumption	depletion
bow	reverence
shadow	follower
habit	custom
prelacy	position
toothbrush	toiletry
preferment	promotion
rectifier	person
fifth	interval
epigraphy	paleography
reprisal	retaliation
lowering	movement
supping	eating
node	computer
adventurer	person
box	area
visibility	clearness
hire	act
folliculitis	inflammation
brain	intelligence
canister	container
chukka	shoe
chanterelle	agaric
jingle	sound
cable	telegram
novelization	writing
pound	enclosure
breadwinner	earner
silva	forest
chomping	chew
vantage	position
eutectic	mixture
menagerie	facility
keel	carina
kern	type
center	place
dispatcher	employee
regency	rule
indicator	signal
externalization	attribution
twins	crystal
surf	wave
primaquine	antimalarial
immaturity	state
darkness	scene
intrigue	plot
yuppie	professional
syncretism	union
cummerbund	girdle
influence	consequence
ruler	person
bionics	engineering
forgetfulness	amnesia
execution	process
jurisdiction	district
storyline	plot
trustee	fiduciary
northland	region
privacy	isolation
authority	control
pictorial	periodical
sight	compass
postposition	place
door	entree
manners	demeanor
bombing	sabotage
deficit	liabilities
aspirin	analgesic
cutoff	limit
taxidermist	craftsman
bud	flower
gem	crystal
varnish	coating
presidio	fortress
diarrhea	symptom
greediness	gluttony
pony	translation
grazier	rancher
sister	member
alendronate	medicine
desk	table
tenrec	insectivore
letterman	athlete
decoration	award
extraction	removal
trip	hallucination
jogger	runner
chacma	baboon
juice	foodstuff
ware	article
generator	apparatus
fielder	cricketer
ethnologist	anthropologist
emmer	wheat
hello	greeting
chambray	fabric
lingam	symbol
eponym	name
logging	work
tumbler	glass
cruet	bottle
cornea	membrane
activity	act
proconsul	governor
washbasin	basin
detritus	material
wheatear	thrush
esprit	liveliness
flatfoot	foot
field	tract
habit	growth
pitcher	leaf
fantail	overhang
harvest	gather
scare	fear
nidus	nest
jackpot	prize
collegian	student
anion	ion
complaint	pleading
credence	attitude
probiotic	bacteria
hallucination	object
anatomy	analysis
tusker	mammal
negotiator	communicator
chromatogram	recording
serialization	publication
commitment	message
customer	consumer
crowbar	lever
misalignment	placement
fumigant	chemical
abrasion	erosion
hand	pointer
improvement	condition
contradiction	opposition
cosmos	flower
capstone	stone
sectarian	bigot
corner	predicament
silicosis	pneumoconiosis
shag	tobacco
seta	hair
genus	kind
discharge	happening
sculpture	art
evolutionist	believer
conventicle	meeting
introduction	section
repute	honor
buck	placental
quest	search
present	tense
rattle	noise
phototherapy	radiotherapy
salaam	bow
dogfight	fight
venue	scene
spoon	cutlery
instigator	leader
trimmer	joist
oligosaccharide	carbohydrate
fail-safe	mechanism
fitment	furniture
delivery	act
paragon	ideal
vanillin	compound
parsnip	herb
tramp	footfall
peace	treaty
reflection	transformation
crispness	freshness
counter	person
translator	linguist
enologist	specialist
spit	cape
quantum	quantity
peacekeeper	pistol
taskmaster	supervisor
hand	ability
lazaretto	hospital
alp	mountain
cartridge	module
peeper	eye
effeminacy	femininity
saturation	filling
fault	breakdown
till	soil
buyout	acquisition
sensitivity	sense
pratincole	shorebird
bow-wow	bark
verse	poem
hassle	fight
tenderfoot	novice
usurer	lender
electric	car
orderly	soldier
fog	aerosol
kinswoman	relative
pennyroyal	herb
smash	collision
sateen	fabric
drunkard	drinker
treatise	writing
valediction	oratory
hibiscus	mallow
imagination	creativity
emergency	crisis
hand	extremity
disabled	people
leftover	remainder
syllabary	script
allergist	doctor
damages	compensation
roleplaying	acting
contact	touch
ouzo	liquor
thundershower	rainstorm
harbinger	indication
masquerade	pretense
hose	garment
scapegoat	victim
performance	show
deficit	insufficiency
change	cash
sanatorium	hospital
firearm	gun
descent	kinship
butadiene	hydrocarbon
exhilaration	joy
reliance	certainty
needlepoint	embroidery
remit	topic
countermeasure	measure
racket	noise
deck	platform
countenance	face
catch	adult
subjectivist	intellectual
chamberlain	treasurer
slip	mishap
avifauna	fauna
receding	withdrawal
iterative	aspect
tortilla	pancake
olivine	mineral
underproduction	production
feud	conflict
soapsuds	foam
chapter	phase
abbreviation	form
freak	mutant
mackle	impression
community	ownership
head	formation
spot	marking
contamination	impurity
section	music
amaranth	grain
rheum	discharge
masterpiece	work
repechage	race
rush	run
row	strip
highness	height
rearrangement	arrangement
hole	space
tenderness	pain
eoraptor	theropod
edmontosaurus	hadrosaur
choice	action
crossbones	symbol
advantage	point
intension	meaning
beatification	action
reverse	side
sago	starch
pike	point
huckster	advertiser
ration	share
disinterest	tolerance
abundance	quantity
swing	jazz
turner	person
abnegation	renunciation
choker	unfortunate
psychodynamics	interrelation
amplitude	shift
master	creation
slide	plaything
contamination	soiling
product	chemical
companion	friend
suite	set
tribalism	state
gambit	remark
dogfight	battle
niece	kinswoman
gasohol	fuel
degeneration	transformation
dichloride	chloride
flap	covering
dynamo	generator
string	collection
lady	woman
official	adjudicator
leak	hole
honeycreeper	finch
molding	edge
luthier	craftsman
electrocardiogram	graph
soundness	condition
whiteness	complexion
sport	vacationer
thumb	finger
middle	area
laryngectomy	ablation
mullion	strip
replication	pleading
horn	pommel
heft	heaviness
procession	collection
benefit	payment
hypersensitivity	sensitivity
nankeen	fabric
knocker	device
absenteeism	absence
woodcarving	carving
reprobation	rejection
complexion	combination
linage	rate
broadsword	sword
costa	structure
union	organization
peeper	animal
display	disclosure
sparring	controversy
archdiocese	diocese
court	assembly
here	location
windowsill	sill
purr	sound
trews	trouser
conjugation	class
veld	grassland
cloud	gloom
harassment	annoyance
precursor	material
border	edge
peanut	pod
voyeurism	paraphilia
ratiocination	reasoning
wailer	speaker
hygienist	specialist
deserter	wrongdoer
deprecation	disparagement
scent	smell
distance	indifference
particulate	material
rhea	ratite
particle	body
mellowness	affability
galaxy	collection
pass-through	opening
dissidence	disagreement
copula	verb
thyme	herb
salsa	condiment
grimoire	manual
satellite	equipment
shaver	man
mussel	shellfish
animation	activeness
prohibition	law
semigloss	paint
macaroni	pasta
politburo	committee
bastardy	status
provider	benefactor
jag	projection
helmet	headdress
spearhead	leader
dispatch	celerity
jezebel	woman
efflorescence	crystallization
chard	beet
congener	chemical
spit	skewer
vetch	legume
record	attainment
toehold	status
bilge	water
chromosphere	layer
establishment	organization
juke	joint
minutia	detail
level	indicator
misanthrope	grouch
waker	person
defect	imperfection
sternum	bone
cycle	series
cranny	hole
hearing	session
foreboding	omen
basin	vessel
slick	film
debt	liabilities
intangible	assets
basswood	wood
sarcoidosis	pathology
taxis	operation
mouth	rima
duff	pudding
concavity	shape
ordeal	experience
lawfulness	quality
foghorn	alarm
girlfriend	lover
authority	permission
spokesperson	advocate
platen	plate
bout	contest
conclusion	assumption
virtu	taste
convention	assembly
ceilidh	party
abasement	humiliation
backwater	region
scepter	staff
decile	mark
trickiness	complexity
picket	strip
dooryard	yard
stock	repute
color	timbre
inappropriateness	unsuitability
transient	oscillation
vanilla	relish
alarm	device
church	religion
financing	finance
architeuthis	squid
foliation	stratification
pass	license
archeologist	anthropologist
slot	status
bidding	invitation
aerator	apparatus
perch	seat
organon	system
huff	irritation
tenon	projection
dead	time
flash	lamp
shredder	device
custodian	defender
bearnaise	sauce
movie	product
number	merchandise
reenactment	acting
litter	rubbish
authority	person
utmost	limit
sign	gesture
guardsman	soldier
acupressure	treatment
bromide	halide
gaslight	light
selflessness	cooperation
barmaid	bartender
hexose	monosaccharide
nekton	organism
bugler	trumpeter
obedience	tractability
unit	whole
scratch	rival
prior	superior
purity	condition
taster	critic
sanitation	cleaning
gourd	vine
director	administrator
disunion	separation
butcher	murderer
split	share
subservience	condition
capacity	ability
repudiation	rejection
release	activity
crush	compression
shipper	businessperson
passerine	bird
nave	area
rattle	tail
sore	infection
chop	jaw
stud	stallion
expressiveness	quality
condyle	process
pedantry	ostentation
dresser	person
floor	surface
biotite	mica
hyrax	placental
breadth	intelligence
nymphalid	butterfly
rabbit	game
obloquy	shame
silverfish	goldfish
anabolism	assimilation
wheeze	scheme
reductase	enzyme
minute	note
adobe	brick
words	speech
summarization	report
rubbish	waste
slacker	idler
pier	platform
abbey	monastery
shoot	sprout
dependability	responsibility
commutation	warrant
humbug	misrepresentation
wheat	grain
deification	worship
nose	front
rally	convalescence
arcus	cornea
side	opinion
protectorship	position
kingfish	whiting
seamount	mountain
essay	writing
model	assistant
frostbite	injury
percept	representation
assay	report
acuity	sight
syntax	structure
passage	section
ozone	gas
indentation	space
protoavis	bird
poundage	fee
elephantiasis	hypertrophy
bourgeois	commoner
putz	fool
inside	region
pouch	cavity
preparation	activity
header	harvester
girlfriend	woman
tying	fastening
visionary	person
sugarcane	cane
goad	encouragement
olive	drupe
successor	substitute
speech	utterance
hammer	striker
geminate	consonant
paneling	panel
ordinary	charge
leap	jump
perfumery	shop
tamandua	anteater
dream	imagination
location	object
serialism	music
coverage	extent
squire	attendant
columbo	herb
trapper	hunter
cowl	hood
sparkler	firework
sphincter	muscle
propagator	botanist
pitching	playing
ding	sound
pinscher	watchdog
slicer	knife
astonishment	feeling
fleer	contempt
quicksand	situation
watchfulness	attentiveness
contralto	singer
holiness	quality
hake	fish
incidental	item
pluralism	practice
simplicity	naivete
fieldwork	fortification
corozo	palm
empress	emperor
image	impression
hydroxymethyl	methyl
epinephrine	catecholamine
semicolon	punctuation
anklet	shoe
centennial	anniversary
quantifier	word
gametogenesis	growth
explosive	chemical
tremolo	vibrato
immunosuppressant	medicine
funeral	ceremony
mother-in-law	in-law
forfeit	penalty
highness	degree
assist	maneuver
sufficiency	quality
knot	bunch
subornation	testimony
racer	animal
sainfoin	herb
carrot	root
flagellum	process
nun	religious
luffa	vine
perusal	reading
impermanence	duration
fingering	placement
cross-reference	citation
punch	blow
bluecoat	person
hawser	rope
messmate	acquaintance
insistence	demand
thymosin	hormone
tie	cord
practicality	utility
dramatization	writing
lampshade	shade
martini	cocktail
arena	area
wings	means
lick	touch
disorientation	confusion
correlate	variable
abnormality	unfamiliarity
fortification	enrichment
linguist	scientist
speechlessness	silence
debridement	operation
radiator	mechanism
air	region
singer	musician
virago	shrew
anticlimax	conclusion
affirmation	judgment
footedness	asymmetry
creation	activity
complacency	satisfaction
lambda	letter
imputation	accusation
mazer	bowl
centrist	adult
fireman	play
declassification	decrease
contrivance	arrangement
dita	tree
rape	mustard
dart	tuck
encephalartos	cycad
hooch	alcohol
squeeze	movement
plain	land
rapport	affinity
hornbook	primer
essentiality	importance
conductor	device
filament	structure
bed	plot
center	point
carom	stroke
limit	boundary
banteng	ox
verger	caretaker
disunity	disagreement
egghead	intellectual
poll	inquiry
caramel	candy
clinch	fastener
imponderable	influence
mind	intelligence
there	location
anode	electrode
uniformity	regularity
touchdown	score
submission	condition
grappa	brandy
situation	state
riposte	counterattack
deuteron	particle
tuft	crest
ligature	character
seafront	waterfront
greasepaint	makeup
grandchild	offspring
withdrawal	separation
hasp	catch
uplink	transmission
grapefruit	citrus
mercy	relief
esophagus	passage
family	association
carryall	bag
decrease	process
friendliness	disposition
prophecy	prediction
encephalomyelitis	inflammation
weald	country
carpetbag	bag
crammer	textbook
backhander	blow
crosscut	path
squash	vegetable
subgroup	group
foreshock	tremor
ataraxia	repose
asbestos	amphibole
atomization	division
salp	tunicate
interrelation	relation
contraction	word
decal	design
tolerance	attitude
war	campaign
inversion	abnormality
clog	footwear
embalmer	mortician
plurality	state
surety	certainty
projection	representation
virus	microorganism
cloakroom	room
threat	declaration
entrance	access
burn	blemish
sharpener	implement
escalade	scaling
flourish	gesture
colander	strainer
diversification	condition
seriousness	trait
detector	device
ignition	burning
poaching	cooking
dandruff	scale
tinker	experimenter
fireball	ball
naysaying	denial
presence	impression
enumeration	list
locoweed	legume
imprisonment	confinement
sweatbox	cell
toga	cloak
contradiction	falsehood
making	component
trump	suit
dairyman	farmer
consummation	completion
original	model
bow	stroke
tea	meal
parricide	murderer
engineer	operator
spirochete	eubacteria
tragedienne	actress
atresia	abnormality
centering	pass
clown	comedian
whip	dessert
scramble	struggle
switchblade	pocketknife
infection	illegality
overkill	capability
bioethics	ethics
exile	banishment
acetabulum	socket
manuscript	autograph
plagiarism	writing
fetishist	pervert
hosiery	footwear
ram	sheep
stationer	merchant
bundling	courtship
hotdog	exhibitionist
marjoram	herb
submissiveness	obedience
schizophrenia	psychosis
loir	dormouse
flare	device
blacklist	list
newspeak	fabrication
frustration	annoyance
inauguration	beginning
stamp	class
flight	trip
focus	point
slob	vulgarian
bosc	pear
crisscross	marking
herald	messenger
locker	fastener
derris	shrub
